"bea_dataset","key","description","retrieved_at"
"NIPA","T10110","Table 1.1.10. Percentage Shares of Gross Domestic Product (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10111","Table 1.1.11. Real Gross Domestic Product: Percent Change From Quarter One Year Ago (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10201","Table 1.2.1. Percent Change From Preceding Period in Real Gross Domestic Product by Major Type of Product (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10202","Table 1.2.2. Contributions to Percent Change in Real Gross Domestic Product by Major Type of Product (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10203","Table 1.2.3. Real Gross Domestic Product by Major Type of Product, Quantity Indexes (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10204","Table 1.2.4. Price Indexes for Gross Domestic Product by Major Type of Product (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10205","Table 1.2.5. Gross Domestic Product by Major Type of Product (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10206","Table 1.2.6. Real Gross Domestic Product by Major Type of Product, Chained Dollars (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10301","Table 1.3.1. Percent Change From Preceding Period in Real Gross Value Added by Sector (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10303","Table 1.3.3. Real Gross Value Added by Sector, Quantity Indexes (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10304","Table 1.3.4. Price Indexes for Gross Value Added by Sector (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10305","Table 1.3.5. Gross Value Added by Sector (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10306","Table 1.3.6. Real Gross Value Added by Sector, Chained Dollars (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10401","Table 1.4.1. Percent Change From Preceding Period in Real Gross Domestic Product, Real Gross Domestic Purchases, and Real Final Sales to Domestic Purchasers (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10403","Table 1.4.3. Real Gross Domestic Product, Real Gross Domestic Purchases, and Real Final Sales to Domestic Purchasers, Quantity Indexes (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10404","Table 1.4.4. Price Indexes for Gross Domestic Product, Gross Domestic Purchases, and Final Sales to Domestic Purchasers (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10405","Table 1.4.5. Relation of Gross Domestic Product, Gross Domestic Purchases, and Final Sales to Domestic Purchasers (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10406","Table 1.4.6. Relation of Real Gross Domestic Product, Real Gross Domestic Purchases, and Real Final Sales to Domestic Purchasers, Chained Dollars (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10501","Table 1.5.1. Percent Change From Preceding Period in Real Gross Domestic Product, Expanded Detail (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10502","Table 1.5.2. Contributions to Percent Change in Real Gross Domestic Product, Expanded Detail (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10503","Table 1.5.3. Real Gross Domestic Product, Expanded Detail, Quantity Indexes (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10504","Table 1.5.4. Price Indexes for Gross Domestic Product, Expanded Detail (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10505","Table 1.5.5. Gross Domestic Product, Expanded Detail (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10506","Table 1.5.6. Real Gross Domestic Product, Expanded Detail, Chained Dollars (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10604","Table 1.6.4. Price Indexes for Gross Domestic Purchases (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10607","Table 1.6.7. Percent Change From Preceding Period in Prices for Gross Domestic Purchases (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10608","Table 1.6.8. Contributions to Percent Change in the Gross Domestic Purchases Price Index (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10701","Table 1.7.1. Percent Change From Preceding Period in Real Gross Domestic Product, Real Gross National Product, and Real Net National Product (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10703","Table 1.7.3. Real Gross Domestic Product, Real Gross National Product, and Real Net National Product, Quantity Indexes (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10704","Table 1.7.4. Price Indexes for Gross Domestic Product, Gross National Product, and Net National Product (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10705","Table 1.7.5. Relation of Gross Domestic Product, Gross National Product, Net National Product, National Income, and Personal Income (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10706","Table 1.7.6. Relation of Real Gross Domestic Product, Real Gross National Product, and Real Net National Product, Chained Dollars (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10803","Table 1.8.3. Command-Basis Real Gross Domestic Product and Gross National Product, Quantity Indexes (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10806","Table 1.8.6. Command-Basis Real Gross Domestic Product and Gross National Product, Chained Dollars (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T10903","Table 1.9.3. Real Net Value Added by Sector, Quantity Indexes (A)","2026-06-11T11:26:44-0400"
"NIPA","T10904","Table 1.9.4. Price Indexes for Net Value Added by Sector (A)","2026-06-11T11:26:44-0400"
"NIPA","T10905","Table 1.9.5. Net Value Added by Sector (A)","2026-06-11T11:26:44-0400"
"NIPA","T10906","Table 1.9.6. Real Net Value Added by Sector, Chained Dollars (A)","2026-06-11T11:26:44-0400"
"NIPA","T11000","Table 1.10. Gross Domestic Income by Type of Income (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T11100","Table 1.11. Percentage Shares of Gross Domestic Income (A)","2026-06-11T11:26:44-0400"
"NIPA","T11200","Table 1.12. National Income by Type of Income (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T11300","Table 1.13. National Income by Sector, Legal Form of Organization, and Type of Income (A)","2026-06-11T11:26:44-0400"
"NIPA","T11400","Table 1.14. Gross Value Added of Domestic Corporate Business in Current Dollars and Gross Value Added of Nonfinancial Domestic Corporate Business in Current and Chained Dollars (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T11500","Table 1.15. Price, Costs, and Profit Per Unit of Real Gross Value Added of Nonfinancial Domestic Corporate Business (A) (Q)","2026-06-11T11:26:44-0400"
"NIPA","T11600","Table 1.16. Sources and Uses of Private Enterprise Income (A)","2026-06-11T11:26:44-0400"
