"year","ME_K_net_cc","NRC_K_net_cc","RC_K_net_cc","IP_K_net_cc","NR_K_net_cc","TOTAL_PRODUCTIVE_K_net_cc","TOTAL_WITH_RC_K_net_cc","TOTAL_ALL_K_net_cc","ME_K_gross_cc","NRC_K_gross_cc","RC_K_gross_cc","IP_K_gross_cc","NR_K_gross_cc","TOTAL_PRODUCTIVE_K_gross_cc","TOTAL_WITH_RC_K_gross_cc","TOTAL_ALL_K_gross_cc","ME_IG_cc","NRC_IG_cc","RC_IG_cc","IP_IG_cc","NR_IG_cc","TOTAL_PRODUCTIVE_IG_cc","TOTAL_WITH_RC_IG_cc","TOTAL_ALL_IG_cc","ME_D_cc","NRC_D_cc","RC_D_cc","IP_D_cc","NR_D_cc","TOTAL_PRODUCTIVE_D_cc","TOTAL_WITH_RC_D_cc","TOTAL_ALL_D_cc","ME_Ret_cc","NRC_Ret_cc","RC_Ret_cc","IP_Ret_cc","NR_Ret_cc","TOTAL_PRODUCTIVE_Ret_cc","TOTAL_WITH_RC_Ret_cc","TOTAL_ALL_Ret_cc","ME_K_net_real","NRC_K_net_real","RC_K_net_real","IP_K_net_real","NR_K_net_real","TOTAL_PRODUCTIVE_K_net_real","TOTAL_WITH_RC_K_net_real","TOTAL_ALL_K_net_real","ME_K_gross_real","NRC_K_gross_real","RC_K_gross_real","IP_K_gross_real","NR_K_gross_real","TOTAL_PRODUCTIVE_K_gross_real","TOTAL_WITH_RC_K_gross_real","TOTAL_ALL_K_gross_real","ME_IG_real","NRC_IG_real","RC_IG_real","IP_IG_real","NR_IG_real","TOTAL_PRODUCTIVE_IG_real","TOTAL_WITH_RC_IG_real","TOTAL_ALL_IG_real","ME_D_real","NRC_D_real","RC_D_real","IP_D_real","NR_D_real","TOTAL_PRODUCTIVE_D_real","TOTAL_WITH_RC_D_real","TOTAL_ALL_D_real","ME_Ret_real","NRC_Ret_real","RC_Ret_real","IP_Ret_real","NR_Ret_real","TOTAL_PRODUCTIVE_Ret_real","TOTAL_WITH_RC_Ret_real","TOTAL_ALL_Ret_real","adj_depression","adj_wwii","adj_gpim","adj_quality"
1948,8285,199905,213609,55397,208190,208190,421799,477196,15196.4289569386,189429.834197548,336319.545538229,28077.0941387059,204626.263154487,204626.263154487,540945.808692716,569022.902831422,2434,9343,18351,7123,11777,11777,30128,37251,1201,5162,10504,4318,6363,6363,16867,21185,911.602068352756,4867.21173506887,6489.1539905761,5238.52353467647,5778.81380342163,5778.81380342163,12267.9677939977,17506.4913286742,85444.40772,3109876.12408,2171790.3333,524915.13819,3195320.5318,3195320.5318,5367110.8651,5892026.00329,156722.977873829,2946916.37807653,3419404.32238237,266044.943765771,3103639.35595036,3103639.35595036,6523043.67833273,6789088.6220985,25102.1953398286,145346.902915282,186576.990699775,67494.097682679,170449.098255111,170449.098255111,357026.088954886,424520.186637565,12386.0873472203,80304.0471849176,106795.526691212,40915.2763995238,92690.1345321379,92690.1345321379,199485.66122335,240400.937622874,9401.48446671433,75718.093923277,65976.0679935223,49637.7115207731,85119.5783899913,85119.5783899913,151095.646383514,200733.357904287,FALSE,FALSE,TRUE,FALSE
1949,9472,200385,218274,54814,209857,209857,428131,482945,16915.6664248628,190453.719543467,344716.782355063,27482.2839000745,207369.38596833,207369.38596833,552086.168323393,579568.452223468,2585,9096,17909,5647,11681,11681,29590,35237,1470,5238,11404,4667,6708,6708,18112,22779,1023.61903034735,4901.55998766128,6669.54657867475,5458.82097501863,5925.17901800863,5925.17901800863,12594.7255966834,18053.546571702,96681.80592,3170407.61624,2238134.3327,534290.74206,3267089.42216,3267089.42216,5505223.75486,6039514.49692,172660.175073485,3013279.05273272,3534651.24406361,267879.188865516,3185939.2278062,3185939.2278062,6720590.47186981,6988469.66073533,26385.3957245777,143913.105658203,183635.008128885,55043.2338528993,170298.501382781,170298.501382781,353933.509511666,408976.743364565,15004.4610116554,82873.4440894534,116934.146669373,45490.8398072394,97877.9051011088,97877.9051011088,214812.051770482,260302.891577722,10448.1985249219,77550.4310020139,68388.0864476474,53208.9887531543,87998.6295269359,87998.6295269359,156386.715974583,209595.704727738,FALSE,FALSE,TRUE,FALSE
1950,11326,224221,245771,62703,235547,235547,481318,544021,19801.347204549,212956.935283458,387459.938727479,30748.0134743583,232758.282488007,232758.282488007,620218.221215486,650966.234689844,2715,9913,20486,6098,12628,12628,33114,39212,1683,5427,12312,4941,7110,7110,19422,24363,1220.4533717535,5487.67392657993,7489.26405566284,6162.50336858957,6708.12729833343,6708.12729833343,14197.3913539963,20359.8947225858,106820.91252,3239990.54648,2319893.55549,545130.0478,3346811.459,3346811.459,5666705.01449,6211835.06229,186755.957753423,3077224.95718847,3657330.66498663,267318.406695564,3263980.91494189,3263980.91494189,6921311.57992852,7188629.98662409,25606.4610181706,143242.721632926,193372.445804298,53015.0556031514,168849.182651096,168849.182651096,362221.628455394,415236.684058546,15873.1763880593,78420.0797237857,116216.028153008,42956.2790644754,94293.2561118451,94293.2561118451,210509.284264853,253465.563329328,11510.6783382323,79296.8171771768,70693.0248812721,53575.8377731033,90807.4955154092,90807.4955154092,161500.520396681,215076.358169785,FALSE,FALSE,TRUE,FALSE
1951,12483,243567,267300,69069,256050,256050,523350,592419,21789.8440887169,231750.249604688,422504.936977815,34604.0271182392,253540.093693405,253540.093693405,676045.030671221,710649.05778946,2698,11947,22062,8718,14645,14645,36707,45425,1926,6195,14059,5681,8121,8121,22180,27861,1363.70314919407,5940.62836769428,8172.30483628194,6471.50677955981,7304.33151688834,7304.33151688834,15476.6363531703,21948.1431327301,113967.8442,3320180.63072,2392481.69601,570606.37224,3434148.47492,3434148.47492,5826630.17093,6397236.54317,198937.880016437,3159100.73984576,3781651.05945859,285877.577188508,3358038.61986219,3358038.61986219,7139689.67932078,7425567.25650929,24632.3194465753,162855.386793826,197467.00777169,72022.8518320567,187487.706240401,187487.706240401,384954.714012091,456977.565844148,17584.0797828407,84447.0679825691,125835.765672295,46932.9916561039,102031.14776541,102031.14776541,227866.913437705,274799.905093809,12450.3971835615,80979.6041365386,73146.6132997326,53463.6813391129,93430.0013201002,93430.0013201002,166576.614619833,220040.295958946,FALSE,FALSE,TRUE,FALSE
1952,13286,256794,281726,73256,270080,270080,551806,625062,23459.1404975585,244731.257028556,447024.145168579,37480.9887069963,268190.397526114,268190.397526114,715214.542694693,752695.53140169,2499,12233,22162,9510,14732,14732,36894,46404,2083,6549,14885,6073,8632,8632,23517,29590,1497.15289268275,6283.73667644744,8670.65602384856,6992.74717674908,7780.88956913019,7780.88956913019,16451.5455929787,23444.2927697278,117693.99936,3397400.71184,2457459.78954,598970.54091,3515094.7112,3515094.7112,5972554.50074,6571525.04165,207812.740230754,3237809.86642333,3899334.32379431,306459.649444021,3445622.60665408,3445622.60665408,7344956.93044839,7651416.57989241,22137.3855487461,161843.356573513,193316.285524891,77757.5876932142,183980.742122259,183980.742122259,377297.02764715,455054.615340365,18452.250539431,86643.6803891063,129839.947208646,49655.2923302723,105095.930928537,105095.930928537,234935.878137183,284591.170467455,13262.5253344291,83134.2299959409,75633.0211891718,57175.5154377017,96396.7553303701,96396.7553303701,172029.776519542,229205.291957244,FALSE,FALSE,TRUE,FALSE
1953,13907,263117,294590,77379,277024,277024,571614,648993,24832.2261241907,251514.673406865,468403.967182359,40260.8148023246,276346.899531056,276346.899531056,744750.866713415,785011.681515739,2557,13567,25543,10009,16124,16124,41667,51676,2169,6872,15808,6550,9041,9041,24849,31399,1591.08758029934,6431.01820018554,9037.97892208895,7562.95370058115,8022.10578048488,8022.10578048488,17060.0847025738,24623.038403155,121093.3458,3486076.51928,2541950.82407,627097.35252,3607169.86508,3607169.86508,6149120.68915,6776218.04167,216223.293667967,3332355.55748222,4041752.43686769,326282.975650187,3548578.85115019,3548578.85115019,7590331.28801788,7916614.26366807,22264.7361192637,179751.213859506,220404.799549272,81115.25609497,202015.94997877,202015.94997877,422420.749528042,503536.005623012,18886.2779204861,91048.1566774179,136403.675029358,53082.7182957392,109934.434597904,109934.434597904,246338.109627262,299420.827923001,13854.1826820503,85205.5228006139,77986.6864758862,61291.9298888042,99059.7054826642,99059.7054826642,177046.39195855,238338.321847354,FALSE,FALSE,TRUE,FALSE
1954,13824,269081,303033,80201,282905,282905,585938,666139,25208.9640729449,257919.727796006,483999.76735587,42132.165858704,283128.691868951,283128.691868951,767128.459224821,809260.625083525,2336,13840,25294,10021,16176,16176,41470,51491,2236,7017,16631,6972,9253,9253,25884,32856,1633.78314806749,6596.74939989206,9361.34219093611,8027.791464676,8230.53254795955,8230.53254795955,17591.8747388957,25619.6662035717,121969.30032,3577015.18624,2616685.3881,651940.7248,3698984.48656,3698984.48656,6315669.87466,6967610.59946,222418.96048677,3428643.35704565,4179330.69693368,342485.439674285,3651062.31753242,3651062.31753242,7830393.0144661,8172878.45414038,20610.5530633333,183981.366865597,218413.308803336,81459.0591541352,204591.91992893,204591.91992893,423005.228732266,504464.287886401,19728.2519904167,93280.1482150211,143608.434360255,56674.2401379733,113008.400205438,113008.400205438,256616.834565693,313291.074703666,14414.8862445312,87693.5673021637,80835.0487373539,65256.5951300373,102108.453546695,102108.453546695,182943.502284049,248200.097414086,FALSE,FALSE,TRUE,FALSE
1955,14620,296271,334315,88789,310891,310891,645206,733995,26948.1965849512,284054.891610832,533609.003765181,46517.3444964817,311003.088195783,311003.088195783,844612.091960963,891129.436457445,2520,15024,29280,10549,17544,17544,46824,57373,2262,7393,17651,7482,9655,9655,27306,34788,1744.87118463937,7271.10517867112,10292.428648269,8992.08612412042,9015.97636331049,9015.97636331049,19308.4050115795,28300.4911356999,124240.8888,3676439.5764,2715030.61074,676348.94247,3800680.4652,3800680.4652,6515711.07594,7192060.01841,229006.011988472,3524849.36219904,4333532.08617305,354345.208941514,3753855.37418752,3753855.37418752,8087387.46036056,8441732.66930208,21414.9822008208,186433.46191775,237788.003178042,80356.8572020862,207848.44411857,207848.44411857,445636.447296613,525993.304498699,19222.4959278796,91740.0548427797,143346.859429495,56994.02839947,110962.550770659,110962.550770659,254309.410200155,311303.438599625,14827.930699118,90227.4567643593,83586.6139386735,68497.0879348569,105055.387463477,105055.387463477,188642.001402151,257139.089337008,FALSE,FALSE,TRUE,FALSE
1956,14812,324881,368891,101312,339693,339693,708584,809896,27973.3911898574,312008.48643828,589067.780082234,54241.8528334241,339981.877628137,339981.877628137,929049.657710371,983291.510543795,2149,18192,32372,14256,20341,20341,52713,66969,2349,8297,19745,8527,10646,10646,30391,38918,1844.5993707041,7940.98611995351,11361.1383690252,9996.46320835602,9785.58549065761,9785.58549065761,21146.7238596828,31143.1870680388,122593.4514,3794956.84376,2814156.35102,718242.46356,3917550.29516,3917550.29516,6731706.64618,7449949.10974,231525.423530041,3644592.14580154,4493817.50842301,384542.81829534,3876117.56933158,3876117.56933158,8369935.07775458,8754477.89604992,17786.4790074669,212501.977344572,246956.063973421,101066.651142129,230288.456352039,230288.456352039,477244.52032546,578311.171467589,19441.805113327,96917.8158546567,150628.551932386,60451.4123378881,116359.620967984,116359.620967984,266988.17290037,327439.585238258,15267.0674658982,92759.1937420801,86670.6417234609,70869.0417883028,108026.261207978,108026.261207978,194696.902931439,265565.944719742,FALSE,FALSE,TRUE,FALSE
1957,15450,343295,393859,110330,358745,358745,752604,862934,29760.3281108701,330570.086824153,630406.908837541,60046.4978522881,360330.414935023,360330.414935023,990737.323772564,1050783.82162485,2295,18926,34780,15241,21221,21221,56001,71242,2424,8964,21668,9606,11388,11388,33056,42662,1961.80915077644,8422.81315740954,12155.6512007661,11201.374463072,10384.622308186,10384.622308186,22540.2735089521,33741.6479720242,121556.77128,3909089.8208,2912111.31484,757525.05699,4030646.59208,4030646.59208,6942757.90692,7700282.96391,234146.886562511,3764191.61789502,4661097.22560386,412278.86075958,3998338.50445753,3998338.50445753,8659435.73006139,9071714.59082097,18056.4912678058,215509.791719835,257156.067349318,104644.606123308,233566.282987641,233566.282987641,490722.350336959,595366.956460268,19071.4312998524,102072.797895837,160208.673586114,65954.7330503575,121144.229195689,121144.229195689,281352.902781803,347307.63583216,15435.0282353361,95910.3196263562,89876.3501684601,76908.563659068,111345.347861692,111345.347861692,201221.698030152,278130.26168922,FALSE,FALSE,TRUE,FALSE
1958,16016,346913,403656,111613,362929,362929,766585,878198,31285.3882389388,334861.885857977,650550.609525314,60192.5232881345,366147.274096916,366147.274096916,1016697.88362223,1076890.40691036,2680,17420,32985,12574,20100,20100,53085,65659,2579,9110,23141,10344,11689,11689,34830,45174,2043.24201706705,8579.51042859397,12603.3797862309,11904.6308220336,10622.752445661,10622.752445661,23226.1322318919,35130.7630539256,122357.72052,4005402.77912,2985675.10241,773071.94442,4127760.49964,4127760.49964,7113435.60205,7886507.54647,239011.537868367,3866262.5160686,4811851.5709351,416915.153413171,4105274.05393696,4105274.05393696,8917125.62487207,9334040.77828524,20474.4437433566,201128.572328712,243976.289843317,87092.0648055073,221603.016072068,221603.016072068,465579.305915385,552671.370720892,19702.8322440734,105182.623072019,171164.326914179,71646.2794932533,124885.455316092,124885.455316092,296049.782230271,367696.061723524,15609.7924375007,99057.674155132,93221.9445120773,82455.772151916,114667.466592633,114667.466592633,207889.41110471,290345.183256626,FALSE,FALSE,TRUE,FALSE
1959,16520,358411,421678,115390,374931,374931,796609,911999,32607.7976434336,346777.164719405,682889.817964131,61642.6239709934,379384.962362839,379384.962362839,1062274.78032697,1123917.40429796,2845,18114,36324,12671,20959,20959,57283,69954,2652,9434,24091,10806,12086,12086,36177,46983,2125.91411738811,8882.7882356596,13195.2207747782,12242.9059927483,11008.7023530477,11008.7023530477,24203.9231278259,36446.8291205742,123820.32348,4105251.45544,3075434.63101,785889.22566,4229071.77892,4229071.77892,7304506.40993,8090395.63559,244401.213812368,3971997.12111987,4980537.27092949,419830.782738665,4216398.33493224,4216398.33493224,9196935.60586173,9616766.38860039,21323.7784685593,207478.355474135,264922.731413086,86298.6600081277,228802.133942694,228802.133942694,493724.86535578,580023.525363908,19877.2093141017,108057.348213701,175703.488670649,73596.6632505586,127934.557527803,127934.557527803,303638.046198452,377234.709449011,15934.1025245578,101743.750422858,96237.0314187021,83383.0306826343,117677.852947416,117677.852947416,213914.884366118,297297.915048752,FALSE,FALSE,TRUE,FALSE
1960,16675,363018,430792,118824,379693,379693,810485,929309,33480.6328013803,352315.777591922,700765.559702741,64091.9771142469,385796.410393302,385796.410393302,1086561.97009604,1150653.94721029,2432,19508,37643,14864,21940,21940,59583,74447,2608,9687,24615,11220,12295,12295,36910,48130,2217.75948581288,8994.80479978167,13533.1134633212,12306.9942785617,11212.5642855945,11212.5642855945,24745.6777489158,37052.6720274775,122507.73108,4218535.86016,3170852.9125,810693.03843,4341043.59124,4341043.59124,7511896.50374,8322589.54217,245975.193980193,4094168.17312551,5157998.56070477,437276.305003491,4340143.36710571,4340143.36710571,9498141.92781047,9935418.23281396,17867.3944219826,226697.292035109,277072.03519387,101411.678812559,244564.686457092,244564.686457092,521636.721650961,623048.400463521,19160.4295446261,112570.056794346,181179.187267144,76549.9889852606,131730.486338972,131730.486338972,312909.673606116,389459.662591377,16293.4142541579,104526.24002947,99610.7454185897,83966.156547733,120819.654283628,120819.654283628,220430.399702218,304396.556249951,FALSE,FALSE,TRUE,FALSE
1961,16713,374581,444217,122154,391294,391294,835511,957665,34017.5117938713,364369.146200758,725942.362271769,66135.4539098059,398386.657994629,398386.657994629,1124329.0202664,1190464.4741762,2502,19700,38067,14788,22202,22202,60269,75057,2606,9875,25365,11632,12481,12481,37846,49478,2251.10798527652,9315.38232975022,14038.2726994239,12836.8634774515,11566.4903150267,11566.4903150267,25604.7630144506,38441.6264919021,121746.96324,4332385.97976,3264319.89989,832213.41187,4454132.943,4454132.943,7718452.84289,8550666.25476,247802.833595687,4214276.16578867,5334573.19133867,450569.050083098,4462078.99938436,4462078.99938436,9796652.19072303,10247221.2408061,18225.9858808401,227849.260376987,279734.601847999,100748.006080305,246075.246257827,246075.246257827,525809.848105826,626557.854186131,18983.5808175337,114213.778996078,186394.204320658,79246.7410553223,133197.359813612,133197.359813612,319591.56413427,398838.305189592,16398.3462653462,107741.267713829,103159.971214095,87455.2610006982,124139.613979175,124139.613979175,227299.585193271,314754.846193969,FALSE,FALSE,TRUE,FALSE
1962,17077,387229,460327,127287,404306,404306,864633,991920,35000.8144618197,377504.598927747,754612.221873857,69479.3250034331,412505.413389567,412505.413389567,1167117.63526342,1236596.96026686,2735,20828,41226,16042,23563,23563,64789,80831,2643,10224,26370,12149,12867,12867,39237,51386,2304.70103298712,9639.90807912829,14558.9024872216,13359.3312508583,11944.6091121154,11944.6091121154,26503.511599337,39862.8428501953,122408.61696,4454863.25128,3373397.24008,858599.60504,4577271.86824,4577271.86824,7950669.10832,8809268.71336,250887.233749775,4342989.20006615,5529996.69061321,468664.679082652,4593876.43381592,4593876.43381592,10123873.1244291,10592537.8035118,19604.5890604673,239615.038640339,302114.963101313,108209.439016174,259219.627700806,259219.627700806,561334.590802119,669544.029818293,18945.1293918885,117621.670590495,193246.290617126,81949.6618007413,136566.799982383,136566.799982383,329813.090599509,411762.75240025,16520.1889063791,110902.00436286,106691.463826773,90113.8100166196,127422.193269239,127422.193269239,234113.657096012,324227.467112632,FALSE,FALSE,TRUE,FALSE
1963,17789,399455,477260,132535,417244,417244,894504,1027039,36278.0964420085,390254.80468828,784999.170290102,73117.5150537934,426532.901130289,426532.901130289,1211532.07142039,1284649.58647418,3216,21031,42915,17173,24247,24247,67162,84335,2713,10546,27600,12770,13259,13259,40859,53629,2361.57831728632,9979.0217483319,15144.5749038796,13986.1287634484,12340.6000656182,12340.6000656182,27485.1749694978,41471.3037329462,125990.11908,4574936.23456,3485401.52142,888229.67803,4700926.35364,4700926.35364,8186327.87506,9074557.55309,256938.652578806,4469566.90160231,5732802.46080241,490022.611797522,4726505.55418111,4726505.55418111,10459308.0149835,10949330.626781,22777.2344123492,240866.891011582,313405.704001465,115090.868531401,263644.125423931,263644.125423931,577049.829425396,692140.697956797,19214.7502987262,120782.760335131,201561.165803109,85582.6233707557,139997.510633857,139997.510633857,341558.676436967,427141.299807722,16725.8155833183,114289.189475425,110599.933812264,93732.9358165304,131015.005058743,131015.005058743,241614.938871008,335347.874687538,FALSE,FALSE,TRUE,FALSE
1964,18602,422524,504945,141347,441126,441126,946071,1087418,37720.1741648856,413344.433014414,831444.493276715,79448.3779570492,451064.607179299,451064.607179299,1282509.10045601,1361957.47841306,3365,23561,47665,19875,26926,26926,74591,94466,2817,10981,29168,13566,13798,13798,42966,56532,2453.94101177755,10534.6873787679,15995.4998627901,14893.3444892623,12988.6283905455,12988.6283905455,28984.1282533356,43877.4727425979,129847.53348,4717496.38432,3619455.42609,930123.19912,4847343.9178,4847343.9178,8466799.34389,9396922.54301,263298.117285583,4615006.17296129,5959810.04403065,522804.017561784,4878304.29024688,4878304.29024688,10838114.3342775,11360918.3518393,23488.708212031,263059.452980099,341663.632444286,130785.928123766,286548.16119213,286548.16119213,628211.793636416,758997.721760182,19663.5040217805,122603.278858048,209076.782358857,89270.0327510447,142266.782879829,142266.782879829,351343.565238686,440613.59798973,17129.2435052537,117620.181621113,114656.049216048,98004.5223595044,134749.425126367,134749.425126367,249405.474342415,347409.99670192,FALSE,FALSE,TRUE,FALSE
1965,20060,450562,539944,153221,470622,470622,1010566,1163787,40048.8038764102,441378.84539678,887322.532997164,88796.054295581,481427.64927319,481427.64927319,1368750.18227035,1457546.23656593,4011,27934,55622,24239,31945,31945,87567,111806,3002,11665,31312,14654,14667,14667,45979,60633,2574.12884831501,11174.1850107238,16973.4802652482,16139.2635738952,13748.3138590388,13748.3138590388,30721.794124287,46861.0576981823,136790.8794,4896969.43,3791754.69512,992666.78443,5033760.3094,5033760.3094,8825515.00452,9818181.78895,273096.266259834,4797161.57367183,6231219.12749798,575279.457043526,5070257.83993166,5070257.83993166,11301476.9674296,11876756.4244732,27351.3567932901,303602.93157794,390605.284347941,157036.242994099,330954.288371231,330954.288371231,721559.572719172,878595.81571327,20470.8983030309,126781.993157324,219888.401414957,94938.2856073072,147252.891460354,147252.891460354,367141.292875311,462079.578482618,17553.2078190389,121447.530867402,119196.200880613,104560.803512357,139000.738686441,139000.738686441,258196.939567054,362757.743079411,FALSE,FALSE,TRUE,FALSE
1966,21924,483731,583432,171773,505655,505655,1089087,1260860,42975.3581150424,474509.918571342,956246.784491461,102751.766261236,517485.276686385,517485.276686385,1473732.06117785,1576483.82743908,4506,30423,61570,29299,34929,34929,96499,125798,3245,12556,34105,16220,15801,15801,49906,66126,2747.8112939316,12002.3491505768,18258.7098875808,18363.191565309,14750.1604445084,14750.1604445084,33008.8703320892,51372.0618973982,145263.79728,5087898.202,3982200.99928,1076256.02906,5233161.99928,5233161.99928,9215362.99856,10291619.02762,284745.6535878,4990910.57122719,6526839.29020037,643798.547706677,5275656.22481499,5275656.22481499,11802495.5150154,12446294.062722,29855.8050786207,319990.091599352,420244.545252351,183574.982071856,349845.896677972,349845.896677972,770090.441930323,953665.424002179,21500.6851931035,132064.411469002,232782.852295459,101627.571221049,153565.096662106,153565.096662106,386347.948957565,487975.520178614,18206.4177506556,126241.094043996,124624.38254996,115055.891408705,144447.511794651,144447.511794651,269071.894344611,384127.785753316,FALSE,FALSE,TRUE,FALSE
1967,23697,518613,630202,188710,542310,542310,1172512,1361222,45897.1033520639,509162.390799275,1033162.46072364,114387.838269637,555059.494151338,555059.494151338,1588221.95487498,1702609.79314462,4676,30739,62716,29802,35415,35415,98131,127933,3521,13411,37194,18036,16932,16932,54126,72162,2944.36452514742,12930.3619134939,19805.0298106866,21146.4595674093,15874.7264386413,15874.7264386413,35679.7562493279,56826.2158167372,152780.39784,5267795.53384,4153719.75067,1149045.52746,5420575.93168,5420575.93168,9574295.68235,10723341.20981,295909.934161789,5171801.26269823,6809669.46908867,696501.690210082,5467711.19686002,5467711.19686002,12277380.6659487,12973882.3561588,30147.3241465097,312230.443345438,413366.964692304,181462.85204474,342377.767491948,342377.767491948,755744.732184252,937207.584228993,22700.7545594227,136221.818397009,245149.098870553,109820.280500602,158922.572956432,158922.572956432,404071.671826985,513891.952327586,18983.04357252,131339.7518744,130536.785804007,128759.709541335,150322.79544692,150322.79544692,280859.581250927,409619.290792262,FALSE,FALSE,TRUE,FALSE
1968,25090,568550,692079,209739,593640,593640,1285719,1495458,48585.7458480357,558268.551365789,1134177.76986516,127440.743704237,606854.297213824,606854.297213824,1741032.06707899,1868472.81078323,4379,32607,69768,31444,36986,36986,106754,138198,3758,14556,40936,19970,18314,18314,59250,79220,3157.62470343112,14207.0689558321,21722.6483645952,23999.1859260592,17364.6936592632,17364.6936592632,39087.3420238584,63086.5279499176,156750.32016,5446561.43592,4339092.69017,1217404.36074,5603311.75608,5603311.75608,9942404.44625,11159808.80699,303540.502865364,5348067.82649869,7110896.97935531,739714.202515919,5651608.32936405,5651608.32936405,12762505.3087194,13502219.5112353,27357.8976476939,312366.597029361,437420.899648422,182512.850347854,339724.494677055,339724.494677055,777145.394325478,959658.244673332,23478.186654495,139442.702068862,256654.368019835,115913.42136645,162920.888723357,162920.888723357,419575.256743192,535488.678109641,19727.3289441193,136100.033228901,136193.389381773,139300.338042016,155827.36217302,155827.36217302,292020.751554793,431321.08959681,FALSE,FALSE,TRUE,FALSE
1969,26751,625160,763791,231810,651911,651911,1415702,1647512,51782.0407206347,614035.228883182,1250565.73363646,141061.833751909,665817.269603817,665817.269603817,1916383.00324028,2057444.83699219,4637,36751,78707,34519,41388,41388,120095,154614,3986,16008,45429,22180,19994,19994,65423,87603,3367.50290861677,15602.2764563022,23915.4843599278,26635.7084379773,18969.779364919,18969.779364919,42885.2637248468,69520.9721628241,160752.3876,5639187.35256,4542027.27657,1287543.37197,5799939.74016,5799939.74016,10341967.01673,11629510.3887,311169.177998671,5538837.5723724,7436725.06395152,783500.40587207,5850006.75037107,5850006.75037107,13286731.8143226,14070232.2201947,27864.7086576651,331508.372886833,468046.024183311,191729.043859335,359373.081544498,359373.081544498,827419.105727809,1019148.14958714,23952.7126826511,144398.41183022,270152.119031644,123194.478194619,168351.124512871,168351.124512871,438503.243544516,561697.721739134,20236.0335243576,140738.627013123,142217.939587106,147942.840503184,160974.660537481,160974.660537481,303192.600124587,451135.440627771,FALSE,FALSE,TRUE,FALSE
1970,28826,689368,841374,255204,718194,718194,1559568,1814772,55583.3976508655,677142.489915225,1380396.28722312,154233.002334421,732725.88756609,732725.88756609,2113122.17478921,2267355.17712364,5045,39002,81148,35444,44047,44047,125195,160639,4220,17585,50315,24515,21805,21805,72120,96635,3609.88554649039,17247.040267979,26515.2711678189,29697.2505836053,20856.9258144694,20856.9258144694,47372.1969822883,77069.4475658936,165651.83964,5826014.69168,4719595.03967,1346605.7204,5991666.53132,5991666.53132,10711261.57099,12057867.29139,319416.224044527,5722693.96694781,7743181.35568385,813823.620389956,6042110.19099233,6042110.19099233,13785291.5466762,14599115.1670661,28991.6579124332,329615.278058894,455190.793011361,187023.295692299,358606.935971327,358606.935971327,813797.728982688,1000821.02467499,24250.7029515299,148615.062424123,282236.466091175,129355.493000133,172865.765375653,172865.765375653,455102.231466828,584457.724466961,20744.6118665781,145758.883483484,148734.50127903,156700.081174414,166503.495350062,166503.495350062,315237.996629093,471938.077803507,FALSE,FALSE,TRUE,FALSE
1971,30608,770161,926999,277408,800769,800769,1727768,2005176,58954.1231536297,756245.421017937,1525103.83253631,165002.354529091,815199.544171566,815199.544171566,2340303.37670788,2505305.73123697,5278,41327,86854,35057,46605,46605,133459,168516,4515,19447,55199,26627,23962,23962,79161,105788,3834.00879668784,19322.1194869713,29352.0373987002,32486.3386322726,23156.1282836591,23156.1282836591,52508.1656823593,84994.5043146319,169999.46712,6002659.16296,4890918.66165,1389883.82434,6172658.63008,6172658.63008,11063577.29173,12453461.11607,327436.275504571,5894200.70078836,8046566.17267739,826703.280143316,6221636.97629293,6221636.97629293,14268203.1489703,15094906.4291136,29314.4663963461,322103.943497071,458248.44410722,175644.383831351,351418.409893417,351418.409893417,809666.854000638,985311.237831988,25076.6987077496,151570.532319974,291234.207592908,133407.964408745,176647.231027723,176647.231027723,467881.438620631,601289.403029377,21294.4149363018,150597.209656521,154863.627113677,162764.724077991,171891.624592823,171891.624592823,326755.2517065,489519.975784491,FALSE,FALSE,TRUE,FALSE
1972,32371,841899,1011628,298586,874270,874270,1885898,2184484,62149.562595835,827325.87032094,1666440.46337915,176375.347703239,889475.432916775,889475.432916775,2555915.89629592,2732291.24399916,6042,45976,98569,39117,52018,52018,150587,189704,4842,21432,60191,28613,26274,26274,86465,115078,4007.68304255964,21117.5640627281,31997.376803656,34314.5869258097,25125.2471052877,25125.2471052877,57122.6239089438,91437.2108347535,176318.66196,6183829.35328,5087999.36575,1438700.25968,6360148.01524,6360148.01524,11448147.38099,12886847.64067,338516.811908711,6076788.31025877,8381389.22680395,849843.12238953,6415305.12216748,6415305.12216748,14796694.3489714,15646537.471361,32909.6214377783,337698.154228003,495754.37758011,188480.498274877,370607.775665781,370607.775665781,866362.153245891,1054842.65152077,26373.4503478521,157420.107043122,302731.606701137,137868.254138586,183793.557390974,183793.557390974,486525.164092111,624393.418230697,21829.0850336381,155110.544757588,160931.323453548,165340.656028663,176939.629791226,176939.629791226,337870.953244774,503211.609273437,FALSE,FALSE,TRUE,FALSE
