"year","KNCcorpbea","KNRcorpbea","KNCcorp","KNRcorp","KGCcorp","KGRcorp","IGCcorpbea","IG_R_net","DEPCcorpbea","dcorpstar","dcorp_WL","pKN","KNHcorpbea","KNRIndxcorpbea"
1953,301404,1620241.09918,206712.293751586,1111212.04112118,466559.56899484,2508058.91395319,27907,150018.142940426,17321,0.0595743699943508,0.0604589307903886,18.6024166497529,183088,13.574
1954,310857,1668702.7086,221787.709530441,1190572.35844017,481245.755772063,2583361.79065968,27377,146961.702819439,18362,0.060835720815478,0.0609215537949065,18.628662756879,196432,13.98
1955,342231,1724684.22293,252505.245744341,1272508.37458421,528205.073656802,2661906.59819673,30232,152355.144413042,19585,0.0591472897634431,0.0630032458654623,19.8431107242691,211395,14.449
1956,380295,1795705.54708,289925.512190689,1368992.09950389,584383.452927163,2759385.76116717,36751,173533.637204636,22116,0.0605496308109834,0.0646230177862321,21.1780266880836,231426,15.044
1957,408618,1865771.96267,320786.532006566,1464728.71341936,626775.638576991,2861891.57927829,39716,181345.411287319,24593,0.0625341792716445,0.0646682180938482,21.9007471532186,252721,15.631
1958,417497,1906594.30361,335306.354592945,1531252.16619794,644090.235441595,2941383.46839323,35312,161260.219951464,26425,0.0646787123819831,0.064669202042005,21.897526873415,267741,15.973
1959,435207,1954936.54946,357017.508196908,1603711.74078374,674440.483544867,3029566.04952893,38340,172222.108804078,27653,0.0651509505883584,0.0662352064805256,22.2619501446333,284556,16.378
1960,445400,2015095.78874,372772.190405512,1686510.26278746,692195.774760279,3131658.71284926,41698,188651.693306871,28521,0.0660051109006831,0.0655343319385947,22.1031676255202,303783,16.882
1961,457811,2071077.30307,389926.523495781,1763976.77792168,714336.559883098,3231565.50613023,41863,189382.756505238,29559,0.0663596562917081,0.0663650651100135,22.1049692023266,321524,17.351
1962,473530,2136488.53943,410069.182501224,1850163.89412982,741179.120029308,3344076.81795753,45401,204841.75485959,30877,0.0672654198947274,0.0674448626179799,22.1639382220292,341020,17.899
1963,489979,2205600.04646,430982.833571992,1940033.67032025,769740.621985842,3464923.90819632,48072,216392.14218043,32457,0.0683844098306236,0.0685426477731084,22.2152244141642,361026,18.478
1964,517915,2292616.08899,462178.440735197,2045891.17753651,814603.825487137,3605946.60603499,54222,240020.523787138,34457,0.0691549938660245,0.0703234220242092,22.5905681499498,385111,19.207
1965,554788,2410427.93258,502106.805429873,2181540.09990605,870645.64380935,3782757.70063007,64408,279838.140481792,37189,0.0704774621912579,0.0718052190031183,23.0161620889525,416673,20.194
1966,604733,2554380.398,553790.371258736,2339199.72772192,944308.40998779,3988740.30710968,74352,314061.397926186,40912,0.0716932822445272,0.0737434839974909,23.6743517321651,455354,21.4
1967,657407,2684844.78001,607952.646453159,2482873.60694825,1025301.81762072,4187324.18878071,76530,312547.890445592,45154,0.0721930706548607,0.0746676632497317,24.4858475579192,492603,22.493
1968,724564,2819844.97768,675594.085561512,2629264.75662735,1129103.98055369,4394226.30553383,83905,326539.950718281,50055,0.0725565733733027,0.0761400471853814,25.695171391873,533547,23.624
